year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2006,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,2247.25
2006,Electricity Generation (GWh),Nuclear,2196.0,GWh,IRENA,,2306.75
2007,Electricity Generation (GWh),Nuclear,2468.5,GWh,IRENA,12.408925318761383,2332.25
2008,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,2332.25
2008,Electricity Generation (GWh),Nuclear,2159.0,GWh,IRENA,,2313.75
2009,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,2159.0
2009,Electricity Generation (GWh),Nuclear,2077.0,GWh,IRENA,,2118.0
2010,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,2077.0
2010,Electricity Generation (GWh),Nuclear,3085.5,GWh,IRENA,,2581.25
2011,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,3085.5
2011,Electricity Generation (GWh),Nuclear,4187.5,GWh,IRENA,,3636.5
2012,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,4187.5
2012,Electricity Generation (GWh),Nuclear,4527.0,GWh,IRENA,,4357.25
2013,Electricity Generation (GWh),Nuclear,4438.5,GWh,IRENA,-1.954937044400265,4482.75
2014,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,4482.75
2014,Electricity Generation (GWh),Nuclear,5040.5,GWh,IRENA,,4739.5
2015,Electricity Generation (GWh),Nuclear,4816.5,GWh,IRENA,-4.444003571074298,4928.5
2016,Electricity Generation (GWh),Nuclear,5258.5,GWh,IRENA,9.176788124156547,5038.5
2017,Electricity Generation (GWh),Nuclear,7700.5,GWh,IRENA,46.439098602263,5925.166666666667
2018,Electricity Generation (GWh),Nuclear,9149.5,GWh,IRENA,18.816959937666386,7369.5
2019,Electricity Generation (GWh),Nuclear,9548.0,GWh,IRENA,4.355429258429423,8799.333333333334
2020,Electricity Generation (GWh),Nuclear,10541.5,GWh,IRENA,10.405320485965646,9746.333333333334
2021,Electricity Generation (GWh),Nuclear,14752.5,GWh,IRENA,39.94687663046056,11614.0
2022,Electricity Generation (GWh),Nuclear,21233.5,GWh,IRENA,43.93153702762243,15509.166666666666
2023,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,17993.0
2000,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
